Year,Period,labor_force_participation_rate,employment_population-ratio,labor_force,employment,unemployment,unemployment_rate
1999,Dec,63,60,9145231,8706579,438652,4.8
2000,Jan,63,60.1,9153721,8722626,431095,4.7
2000,Feb,63.1,60.2,9161373,8735957,425416,4.6
2000,Mar,63.1,60.2,9164960,8743376,421584,4.6
2000,Apr,63.1,60.2,9162783,8743469,419314,4.6
2000,May,63,60.1,9154327,8736957,417370,4.6
2000,Jun,62.9,60,9141115,8725743,415372,4.5
2000,Jul,62.8,59.9,9127546,8714462,413084,4.5
2000,Aug,62.7,59.8,9118922,8708689,410233,4.5
2000,Sep,62.6,59.8,9117064,8710620,406444,4.5
2000,Oct,62.6,59.8,9120777,8719377,401400,4.4
2000,Nov,62.6,59.9,9126380,8730589,395791,4.3
2000,Dec,62.6,59.9,9129982,8739200,390782,4.3
2001,Jan,62.5,59.9,9128039,8740605,387434,4.2
2001,Feb,62.4,59.8,9120132,8733557,386575,4.2
2001,Mar,62.3,59.7,9108245,8719823,388422,4.3
2001,Apr,62.2,59.5,9095320,8701872,393448,4.3
2001,May,62.1,59.4,9087010,8684335,402675,4.4
2001,Jun,62.1,59.2,9087123,8670637,416486,4.6
2001,Jul,62.1,59.1,9096796,8661781,435015,4.8
2001,Aug,62.2,59.1,9113151,8655226,457925,5
2001,Sep,62.3,59,9133898,8650292,483606,5.3
2001,Oct,62.4,58.9,9157095,8647326,509769,5.6
2001,Nov,62.5,58.9,9180165,8646147,534018,5.8
2001,Dec,62.7,58.9,9202819,8648361,554458,6
2002,Jan,62.8,58.9,9225509,8655523,569986,6.2
2002,Feb,62.9,59,9246806,8666443,580363,6.3
2002,Mar,63,59,9265302,8679350,585952,6.3
2002,Apr,63.1,59.1,9281975,8695207,586768,6.3
2002,May,63.2,59.2,9297067,8713553,583514,6.3
2002,Jun,63.2,59.3,9309180,8731635,577545,6.2
2002,Jul,63.2,59.4,9316834,8745647,571187,6.1
2002,Aug,63.2,59.4,9320911,8753883,567028,6.1
2002,Sep,63.2,59.3,9323265,8756201,567064,6.1
2002,Oct,63.1,59.3,9323293,8752564,570729,6.1
2002,Nov,63.1,59.2,9321908,8745900,576008,6.2
2002,Dec,63,59.1,9318783,8737938,580845,6.2
2003,Jan,63,59,9315785,8730879,584906,6.3
2003,Feb,63,59,9314431,8726174,588257,6.3
2003,Mar,62.9,58.9,9312793,8721904,590889,6.3
2003,Apr,62.9,58.9,9307352,8713651,593701,6.4
2003,May,62.8,58.7,9296497,8699109,597388,6.4
2003,Jun,62.6,58.6,9283664,8682191,601473,6.5
2003,Jul,62.5,58.4,9271586,8667803,603783,6.5
2003,Aug,62.4,58.3,9261573,8658414,603159,6.5
2003,Sep,62.3,58.3,9254717,8655456,599261,6.5
2003,Oct,62.3,58.3,9253604,8659302,594302,6.4
2003,Nov,62.3,58.3,9259003,8668362,590641,6.4
2003,Dec,62.3,58.4,9267759,8679731,588028,6.3
2004,Jan,62.3,58.4,9275669,8690232,585437,6.3
2004,Feb,62.4,58.4,9281530,8699403,582127,6.3
2004,Mar,62.5,58.6,9304365,8726537,577828,6.2
2004,Apr,62.6,58.8,9325796,8754380,571416,6.1
2004,May,62.7,58.9,9345424,8782986,562438,6
2004,Jun,62.8,59.1,9362431,8811495,550936,5.9
2004,Jul,62.8,59.2,9377918,8839205,538713,5.7
2004,Aug,62.9,59.4,9391690,8864589,527101,5.6
2004,Sep,62.9,59.5,9401360,8884406,516954,5.5
2004,Oct,62.9,59.5,9404648,8896900,507748,5.4
2004,Nov,62.9,59.5,9401294,8903284,498010,5.3
2004,Dec,62.8,59.5,9396977,8907852,489125,5.2
2005,Jan,62.8,59.6,9395352,8913873,481479,5.1
2005,Feb,62.8,59.6,9397267,8922290,474977,5.1
2005,Mar,62.8,59.6,9402641,8933249,469392,5
2005,Apr,62.8,59.7,9413319,8948092,465227,4.9
2005,May,62.9,59.8,9430767,8967742,463025,4.9
2005,Jun,63,59.9,9451917,8988295,463622,4.9
2005,Jul,63.1,60,9471800,9004782,467018,4.9
2005,Aug,63.2,60.1,9487602,9017089,470513,5
2005,Sep,63.2,60.1,9499119,9027253,471866,5
2005,Oct,63.2,60.1,9507494,9037183,470311,4.9
2005,Nov,63.2,60.1,9513815,9046842,466973,4.9
2005,Dec,63.2,60.1,9518216,9056031,462185,4.9
2006,Jan,63.2,60.2,9522997,9066533,456464,4.8
2006,Feb,63.2,60.2,9529175,9077960,451215,4.7
2006,Mar,63.2,60.3,9535839,9087985,447854,4.7
2006,Apr,63.3,60.3,9539977,9093660,446317,4.7
2006,May,63.2,60.3,9538316,9093999,444317,4.7
2006,Jun,63.2,60.2,9530898,9090653,440245,4.6
2006,Jul,63.1,60.2,9520777,9087715,433062,4.5
2006,Aug,63,60.2,9511488,9086770,424718,4.5
2006,Sep,62.9,60.1,9505259,9087981,417278,4.4
2006,Oct,62.8,60.1,9502793,9092269,410524,4.3
2006,Nov,62.8,60.1,9503075,9098570,404505,4.3
